State,PC No,PC Name,No Of AC Segments,PS,Total Electors,Avg. No. of Electors Per PS,Nominations,Contestants,FD,Total Voters,VTR (%)
Andhra Pradesh,1,Araku,7,2052,1557153,759,23,13,11,1165787,74.87
Andhra Pradesh,2,Srikakulam,7,2049,1646686,804,16,13,11,1241169,75.37
Andhra Pradesh,3,Vizianagaram,7,1886,1590994,844,18,15,13,1307632,82.19
Andhra Pradesh,4,Visakhapatnam,7,1962,1931398,984,39,33,31,1391130,72.03
Andhra Pradesh,5,Anakapalle,7,1828,1601365,876,25,15,13,1328726,82.97
Andhra Pradesh,6,Kakinada,7,1640,1634921,997,28,15,13,1331386,81.43
Andhra Pradesh,7,Amalapuram,7,1644,1532229,932,21,15,13,1301934,84.97
Andhra Pradesh,8,Rajahmundry,7,1577,1623852,1030,19,12,10,1329162,81.85
Andhra Pradesh,9,Narsapuram,7,1463,1473811,1007,27,21,19,1232553,83.63
Andhra Pradesh,10,Eluru,7,1744,1638116,939,17,13,11,1387990,84.73
Andhra Pradesh,11,Machilipatnam,7,1768,1540045,871,28,15,13,1315489,85.42
Andhra Pradesh,12,Vijayawada,7,1792,1704469,951,34,17,15,1371102,80.44
Andhra Pradesh,13,Guntur,7,1915,1793324,936,47,30,28,1437528,80.16
Andhra Pradesh,14,Narsaraopet,7,1929,1736162,900,27,15,13,1504877,86.68
Andhra Pradesh,15,Bapatla,7,1766,1511177,856,20,15,13,1308243,86.57
Andhra Pradesh,16,Ongole,7,1927,1614525,838,32,25,23,1425958,88.32
Andhra Pradesh,17,Nandyal,7,1983,1724191,869,41,31,29,1410776,81.82
Andhra Pradesh,18,Kurnoolu,7,1847,1724191,934,27,19,17,1339542,77.69
Andhra Pradesh,19,Ananthapur,7,1955,1769264,905,25,21,19,1445498,81.7
Andhra Pradesh,20,Hindupur,7,1852,1658529,896,24,13,11,1424863,85.91
Andhra Pradesh,21,Kadapa,7,1963,1641349,836,32,14,12,1327619,80.89
Andhra Pradesh,22,Nellore,7,2043,1712840,838,21,14,12,1378697,80.49
Andhra Pradesh,23,Thirupathi,7,2027,1730318,854,27,23,21,1387466,80.19
Andhra Pradesh,24,Rajampet,7,1874,1667385,890,33,18,16,1337920,80.24
Andhra Pradesh,25,Chittoor,7,1903,1643593,864,35,19,17,1425910,86.76
Andhra Pradesh,State-Total,State-Total,175,46389,41401887,892,686,454,404,33858957,81.78
Arunachal Pradesh,1,Arunachal West,33,1306,520085,398,8,8,6,402330,77.36
Arunachal Pradesh,2,Arunachal East,27,920,378357,411,7,6,4,326063,86.18
Arunachal Pradesh,State-Total,State-Total,60,2226,898442,404,15,14,10,728393,81.07
Assam,1,Kokrajhar,9,1862,1494404,803,16,12,10,1254499,83.95
Assam,2,Dhubri,11,3024,2663987,881,19,13,10,2458780,92.3
Assam,3,Barpeta,10,2451,1979051,807,15,14,12,1690051,85.4
Assam,4,Darrang-Udalguri,11,2622,2214516,845,11,11,8,1820644,82.21
Assam,5,Guwahati,10,2179,2039765,936,10,8,6,1602455,78.56
Assam,6,Diphu,6,1217,902050,741,6,5,2,687376,76.2
Assam,7,Karimganj,6,1660,1414520,852,25,24,22,1147607,81.13
Assam,8,Silchar,7,1551,1374559,886,8,8,6,1090948,79.37
Assam,9,Nagaon,8,2083,1821023,874,15,13,11,1550628,85.15
Assam,10,Kaziranga,10,2357,2053805,871,12,11,9,1635636,79.64
Assam,11,Sonitpur,9,1878,1638992,873,9,8,6,1290556,78.74
Assam,12,Lakhimpur,9,1775,1580500,890,9,9,7,1214239,76.83
Assam,13,Dibrugarh,10,1923,1661998,864,3,3,1,1278464,76.92
Assam,14,Jorhat,10,2068,1732944,838,5,4,2,1396283,80.57
